RMSE,filter
{rmse_x:0.1004   rmse_Y:0.0860316  rmse_vx:0.571905  rmse_vY:0.445864  },1
{rmse_x:0.100205   rmse_Y:0.0860265  rmse_vx:0.570797  rmse_vY:0.445053  },1
{rmse_x:0.100008   rmse_Y:0.0859462  rmse_vx:0.569738  rmse_vY:0.444185  },1
{rmse_x:0.0998142   rmse_Y:0.0858636  rmse_vx:0.568616  rmse_vY:0.443313  },1
{rmse_x:0.0996394   rmse_Y:0.0856977  rmse_vx:0.567554  rmse_vY:0.442578  },1
{rmse_x:0.0994931   rmse_Y:0.0855302  rmse_vx:0.566634  rmse_vY:0.44175  },1
{rmse_x:0.0995439   rmse_Y:0.0854022  rmse_vx:0.565984  rmse_vY:0.441117  },1
{rmse_x:0.0995384   rmse_Y:0.0852601  rmse_vx:0.564983  rmse_vY:0.440522  },1
{rmse_x:0.0994324   rmse_Y:0.0850961  rmse_vx:0.5639  rmse_vY:0.439731  },1
{rmse_x:0.0993104   rmse_Y:0.0849962  rmse_vx:0.562833  rmse_vY:0.43894  },1
{rmse_x:0.0991918   rmse_Y:0.0849  rmse_vx:0.561763  rmse_vY:0.438139  },1
{rmse_x:0.099151   rmse_Y:0.0847683  rmse_vx:0.560777  rmse_vY:0.437312  },1
{rmse_x:0.0991297   rmse_Y:0.0846074  rmse_vx:0.559784  rmse_vY:0.436506  },1
{rmse_x:0.0990832   rmse_Y:0.084449  rmse_vx:0.55873  rmse_vY:0.435726  },1
{rmse_x:0.0990884   rmse_Y:0.0843321  rmse_vx:0.557684  rmse_vY:0.43509  },1
{rmse_x:0.0991156   rmse_Y:0.0841862  rmse_vx:0.556798  rmse_vY:0.43429  },1
{rmse_x:0.0992762   rmse_Y:0.084148  rmse_vx:0.555942  rmse_vY:0.433704  },1
{rmse_x:0.0995683   rmse_Y:0.084147  rmse_vx:0.5552  rmse_vY:0.433129  },1
{rmse_x:0.099618   rmse_Y:0.0840584  rmse_vx:0.554243  rmse_vY:0.43235  },1
{rmse_x:0.0996301   rmse_Y:0.0839077  rmse_vx:0.553224  rmse_vY:0.431558  },1
{rmse_x:0.0995007   rmse_Y:0.0837536  rmse_vx:0.55222  rmse_vY:0.430824  },1
{rmse_x:0.0993709   rmse_Y:0.0837533  rmse_vx:0.551205  rmse_vY:0.430185  },1
{rmse_x:0.0991961   rmse_Y:0.0837413  rmse_vx:0.550234  rmse_vY:0.429493  },1
{rmse_x:0.0990237   rmse_Y:0.0839924  rmse_vx:0.549452  rmse_vY:0.429142  },1
{rmse_x:0.0988526   rmse_Y:0.0841794  rmse_vx:0.548842  rmse_vY:0.428612  },1
{rmse_x:0.0986777   rmse_Y:0.08409  rmse_vx:0.548004  rmse_vY:0.427837  },1
{rmse_x:0.0985001   rmse_Y:0.0839431  rmse_vx:0.547104  rmse_vY:0.427185  },1
{rmse_x:0.0983239   rmse_Y:0.0837999  rmse_vx:0.546125  rmse_vY:0.426453  },1
{rmse_x:0.098149   rmse_Y:0.0836748  rmse_vx:0.545157  rmse_vY:0.425735  },1
{rmse_x:0.0980018   rmse_Y:0.0836883  rmse_vx:0.544288  rmse_vY:0.425288  },1
{rmse_x:0.0978345   rmse_Y:0.0836054  rmse_vx:0.543387  rmse_vY:0.424643  },1
{rmse_x:0.0976609   rmse_Y:0.0835918  rmse_vx:0.542455  rmse_vY:0.424303  },1
{rmse_x:0.0974927   rmse_Y:0.083709  rmse_vx:0.541496  rmse_vY:0.424194  },1
{rmse_x:0.0973223   rmse_Y:0.0836973  rmse_vx:0.540544  rmse_vY:0.423694  },1
{rmse_x:0.0971669   rmse_Y:0.0836296  rmse_vx:0.539595  rmse_vY:0.423089  },1
{rmse_x:0.0970475   rmse_Y:0.0835468  rmse_vx:0.538655  rmse_vY:0.422488  },1
{rmse_x:0.0968787   rmse_Y:0.0837175  rmse_vx:0.537781  rmse_vY:0.422381  },1
{rmse_x:0.096711   rmse_Y:0.0839423  rmse_vx:0.537034  rmse_vY:0.422233  },1
{rmse_x:0.0965539   rmse_Y:0.0840064  rmse_vx:0.536342  rmse_vY:0.421809  },1
{rmse_x:0.096398   rmse_Y:0.0843481  rmse_vx:0.535686  rmse_vY:0.421837  },1
{rmse_x:0.0962335   rmse_Y:0.0842585  rmse_vx:0.534901  rmse_vY:0.42118  },1
{rmse_x:0.0960714   rmse_Y:0.0841858  rmse_vx:0.534069  rmse_vY:0.420645  },1
{rmse_x:0.0959098   rmse_Y:0.0842027  rmse_vx:0.533293  rmse_vY:0.420302  },1
{rmse_x:0.0957524   rmse_Y:0.084323  rmse_vx:0.53258  rmse_vY:0.420164  },1
{rmse_x:0.0955939   rmse_Y:0.0846821  rmse_vx:0.531927  rmse_vY:0.420393  },1
{rmse_x:0.0954584   rmse_Y:0.0850721  rmse_vx:0.531784  rmse_vY:0.420309  },1
{rmse_x:0.0953932   rmse_Y:0.0855864  rmse_vx:0.531887  rmse_vY:0.420394  },1
{rmse_x:0.0953821   rmse_Y:0.0858845  rmse_vx:0.532201  rmse_vY:0.420086  },1
{rmse_x:0.0953098   rmse_Y:0.0861867  rmse_vx:0.532274  rmse_vY:0.419772  },1
{rmse_x:0.0952753   rmse_Y:0.0865911  rmse_vx:0.532314  rmse_vY:0.419666  },1
{rmse_x:0.0952944   rmse_Y:0.0869494  rmse_vx:0.532411  rmse_vY:0.419521  },1
{rmse_x:0.0954773   rmse_Y:0.0871418  rmse_vx:0.532896  rmse_vY:0.419134  },1
{rmse_x:0.0956489   rmse_Y:0.0870189  rmse_vx:0.533067  rmse_vY:0.418449  },1
{rmse_x:0.0958463   rmse_Y:0.0869198  rmse_vx:0.533029  rmse_vY:0.417879  },1
{rmse_x:0.0963209   rmse_Y:0.0869382  rmse_vx:0.533407  rmse_vY:0.417627  },1
{rmse_x:0.09657   rmse_Y:0.0869526  rmse_vx:0.533028  rmse_vY:0.417624  },1
{rmse_x:0.096716   rmse_Y:0.0869648  rmse_vx:0.532547  rmse_vY:0.417613  },1
{rmse_x:0.0969148   rmse_Y:0.0870049  rmse_vx:0.532048  rmse_vY:0.417813  },1
{rmse_x:0.0969351   rmse_Y:0.0871583  rmse_vx:0.531412  rmse_vY:0.418226  },1
{rmse_x:0.0969462   rmse_Y:0.0872849  rmse_vx:0.530773  rmse_vY:0.418586  },1
{rmse_x:0.0968246   rmse_Y:0.08747  rmse_vx:0.530005  rmse_vY:0.419001  },1
{rmse_x:0.0967567   rmse_Y:0.0876786  rmse_vx:0.529472  rmse_vY:0.419313  },1
{rmse_x:0.0968882   rmse_Y:0.0879341  rmse_vx:0.529245  rmse_vY:0.419847  },1
{rmse_x:0.097131   rmse_Y:0.088195  rmse_vx:0.529156  rmse_vY:0.4204  },1
{rmse_x:0.0975278   rmse_Y:0.0882597  rmse_vx:0.529127  rmse_vY:0.420594  },1
{rmse_x:0.0981498   rmse_Y:0.0883208  rmse_vx:0.529651  rmse_vY:0.42063  },1
{rmse_x:0.0987282   rmse_Y:0.0882342  rmse_vx:0.5299  rmse_vY:0.420358  },1
{rmse_x:0.0992345   rmse_Y:0.0881923  rmse_vx:0.52945  rmse_vY:0.420777  },1
{rmse_x:0.0997797   rmse_Y:0.0880697  rmse_vx:0.528974  rmse_vY:0.420866  },1
{rmse_x:0.100563   rmse_Y:0.0879415  rmse_vx:0.529013  rmse_vY:0.420754  },1
{rmse_x:0.10088   rmse_Y:0.0878054  rmse_vx:0.52856  rmse_vY:0.420464  },1
{rmse_x:0.101091   rmse_Y:0.0876692  rmse_vx:0.527904  rmse_vY:0.420484  },1
{rmse_x:0.101287   rmse_Y:0.087586  rmse_vx:0.527212  rmse_vY:0.420211  },1
{rmse_x:0.101683   rmse_Y:0.0875615  rmse_vx:0.527024  rmse_vY:0.419725  },1
{rmse_x:0.102063   rmse_Y:0.0874966  rmse_vx:0.526786  rmse_vY:0.419436  },1
{rmse_x:0.102339   rmse_Y:0.0873917  rmse_vx:0.526123  rmse_vY:0.419763  },1
{rmse_x:0.102615   rmse_Y:0.0872588  rmse_vx:0.525473  rmse_vY:0.420573  },1
{rmse_x:0.103041   rmse_Y:0.0871338  rmse_vx:0.525114  rmse_vY:0.421546  },1
{rmse_x:0.103116   rmse_Y:0.0870882  rmse_vx:0.524404  rmse_vY:0.42156  },1
{rmse_x:0.103167   rmse_Y:0.0869757  rmse_vx:0.523736  rmse_vY:0.421964  },1
{rmse_x:0.103099   rmse_Y:0.0868502  rmse_vx:0.522996  rmse_vY:0.423005  },1
{rmse_x:0.103097   rmse_Y:0.0867405  rmse_vx:0.522615  rmse_vY:0.423809  },1
{rmse_x:0.103019   rmse_Y:0.0866646  rmse_vx:0.522067  rmse_vY:0.424898  },1
{rmse_x:0.102969   rmse_Y:0.0865962  rmse_vx:0.521693  rmse_vY:0.425844  },1
{rmse_x:0.102865   rmse_Y:0.0864678  rmse_vx:0.521106  rmse_vY:0.426138  },1
{rmse_x:0.10289   rmse_Y:0.0863392  rmse_vx:0.52083  rmse_vY:0.426598  },1
{rmse_x:0.102767   rmse_Y:0.0862883  rmse_vx:0.520184  rmse_vY:0.426503  },1
{rmse_x:0.102649   rmse_Y:0.0861607  rmse_vx:0.519495  rmse_vY:0.427355  },1
{rmse_x:0.1025   rmse_Y:0.086035  rmse_vx:0.518739  rmse_vY:0.428132  },1
{rmse_x:0.102353   rmse_Y:0.0859102  rmse_vx:0.518084  rmse_vY:0.428945  },1
{rmse_x:0.102206   rmse_Y:0.0858202  rmse_vx:0.51734  rmse_vY:0.429259  },1
{rmse_x:0.102057   rmse_Y:0.0857188  rmse_vx:0.516739  rmse_vY:0.429585  },1
{rmse_x:0.101938   rmse_Y:0.085596  rmse_vx:0.516207  rmse_vY:0.430667  },1
{rmse_x:0.101853   rmse_Y:0.0855133  rmse_vx:0.515614  rmse_vY:0.432508  },1
{rmse_x:0.101725   rmse_Y:0.0854161  rmse_vx:0.514905  rmse_vY:0.43415  },1
{rmse_x:0.101635   rmse_Y:0.0853606  rmse_vx:0.514217  rmse_vY:0.436188  },1
{rmse_x:0.101497   rmse_Y:0.0852902  rmse_vx:0.513477  rmse_vY:0.436683  },1
{rmse_x:0.101387   rmse_Y:0.0852095  rmse_vx:0.512828  rmse_vY:0.437096  },1
{rmse_x:0.101242   rmse_Y:0.0855228  rmse_vx:0.512093  rmse_vY:0.436779  },1
{rmse_x:0.101099   rmse_Y:0.085983  rmse_vx:0.511369  rmse_vY:0.436412  },1
{rmse_x:0.101068   rmse_Y:0.0858786  rmse_vx:0.510774  rmse_vY:0.438675  },1
{rmse_x:0.101059   rmse_Y:0.0859106  rmse_vx:0.510159  rmse_vY:0.441862  },1
{rmse_x:0.101003   rmse_Y:0.0858122  rmse_vx:0.509449  rmse_vY:0.443843  },1
{rmse_x:0.100943   rmse_Y:0.0857692  rmse_vx:0.508774  rmse_vY:0.445943  },1
{rmse_x:0.100914   rmse_Y:0.0857157  rmse_vx:0.508074  rmse_vY:0.447926  },1
{rmse_x:0.100892   rmse_Y:0.0857694  rmse_vx:0.50742  rmse_vY:0.450129  },1
{rmse_x:0.100921   rmse_Y:0.0860706  rmse_vx:0.506747  rmse_vY:0.453181  },1
{rmse_x:0.101117   rmse_Y:0.0864242  rmse_vx:0.506465  rmse_vY:0.455565  },1
{rmse_x:0.101284   rmse_Y:0.0867419  rmse_vx:0.505957  rmse_vY:0.457666  },1
{rmse_x:0.101484   rmse_Y:0.0872284  rmse_vx:0.505311  rmse_vY:0.460197  },1
{rmse_x:0.101493   rmse_Y:0.0875981  rmse_vx:0.504618  rmse_vY:0.462146  },1
{rmse_x:0.101595   rmse_Y:0.0882641  rmse_vx:0.503941  rmse_vY:0.464437  },1
{rmse_x:0.101487   rmse_Y:0.0881677  rmse_vx:0.503364  rmse_vY:0.464442  },1
{rmse_x:0.101417   rmse_Y:0.0881217  rmse_vx:0.50269  rmse_vY:0.464523  },1
{rmse_x:0.101278   rmse_Y:0.0880019  rmse_vx:0.502058  rmse_vY:0.464164  },1
{rmse_x:0.10114   rmse_Y:0.0878817  rmse_vx:0.501533  rmse_vY:0.463959  },1
{rmse_x:0.101003   rmse_Y:0.0877635  rmse_vx:0.50108  rmse_vY:0.463958  },1
{rmse_x:0.100866   rmse_Y:0.0876498  rmse_vx:0.500561  rmse_vY:0.46402  },1
{rmse_x:0.100731   rmse_Y:0.0877173  rmse_vx:0.500089  rmse_vY:0.465051  },1
{rmse_x:0.100606   rmse_Y:0.0878267  rmse_vx:0.499447  rmse_vY:0.465942  },1
{rmse_x:0.10047   rmse_Y:0.0877088  rmse_vx:0.498964  rmse_vY:0.465726  },1
{rmse_x:0.100337   rmse_Y:0.0876015  rmse_vx:0.498308  rmse_vY:0.465656  },1
{rmse_x:0.100265   rmse_Y:0.0875917  rmse_vx:0.497647  rmse_vY:0.466164  },1
{rmse_x:0.100239   rmse_Y:0.0876539  rmse_vx:0.496983  rmse_vY:0.466796  },1
{rmse_x:0.100116   rmse_Y:0.0875749  rmse_vx:0.496438  rmse_vY:0.466838  },1
{rmse_x:0.100013   rmse_Y:0.0875063  rmse_vx:0.495819  rmse_vY:0.466885  },1
{rmse_x:0.0998977   rmse_Y:0.0874742  rmse_vx:0.495313  rmse_vY:0.467085  },1
{rmse_x:0.0997716   rmse_Y:0.0875181  rmse_vx:0.494894  rmse_vY:0.467473  },1
{rmse_x:0.0996467   rmse_Y:0.0874399  rmse_vx:0.494827  rmse_vY:0.467394  },1
{rmse_x:0.0995225   rmse_Y:0.0874782  rmse_vx:0.494782  rmse_vY:0.467696  },1
{rmse_x:0.0994117   rmse_Y:0.0876644  rmse_vx:0.495003  rmse_vY:0.468313  },1
{rmse_x:0.0993067   rmse_Y:0.0879762  rmse_vx:0.494991  rmse_vY:0.468998  },1
{rmse_x:0.0992539   rmse_Y:0.0880278  rmse_vx:0.495384  rmse_vY:0.469017  },1
{rmse_x:0.0992172   rmse_Y:0.0881952  rmse_vx:0.494951  rmse_vY:0.469078  },1
{rmse_x:0.0992251   rmse_Y:0.08809  rmse_vx:0.494766  rmse_vY:0.468553  },1
{rmse_x:0.0991966   rmse_Y:0.0880007  rmse_vx:0.494167  rmse_vY:0.468057  },1
{rmse_x:0.099097   rmse_Y:0.0878956  rmse_vx:0.493598  rmse_vY:0.467458  },1
{rmse_x:0.0989745   rmse_Y:0.0877894  rmse_vx:0.492962  rmse_vY:0.466867  },1
{rmse_x:0.0988493   rmse_Y:0.0876931  rmse_vx:0.492334  rmse_vY:0.466279  },1
{rmse_x:0.098728   rmse_Y:0.0875836  rmse_vx:0.491705  rmse_vY:0.465727  },1
{rmse_x:0.0986036   rmse_Y:0.0876017  rmse_vx:0.491188  rmse_vY:0.465625  },1
{rmse_x:0.0984807   rmse_Y:0.087652  rmse_vx:0.490682  rmse_vY:0.465502  },1
{rmse_x:0.0983771   rmse_Y:0.0878308  rmse_vx:0.490404  rmse_vY:0.465524  },1
{rmse_x:0.0982647   rmse_Y:0.0880648  rmse_vx:0.490058  rmse_vY:0.465512  },1
{rmse_x:0.0981458   rmse_Y:0.0881306  rmse_vx:0.489852  rmse_vY:0.46517  },1
{rmse_x:0.0980227   rmse_Y:0.0883227  rmse_vx:0.489268  rmse_vY:0.464932  },1
{rmse_x:0.0978997   rmse_Y:0.0884799  rmse_vx:0.488791  rmse_vY:0.464587  },1
{rmse_x:0.0977779   rmse_Y:0.0887721  rmse_vx:0.48828  rmse_vY:0.464323  },1
{rmse_x:0.0976704   rmse_Y:0.0888767  rmse_vx:0.487976  rmse_vY:0.463828  },1
{rmse_x:0.0975549   rmse_Y:0.0890058  rmse_vx:0.487395  rmse_vY:0.463331  },1
{rmse_x:0.0974332   rmse_Y:0.0889049  rmse_vx:0.486859  rmse_vY:0.462795  },1
{rmse_x:0.0973128   rmse_Y:0.0888044  rmse_vx:0.486256  rmse_vY:0.462251  },1
{rmse_x:0.0971921   rmse_Y:0.08874  rmse_vx:0.485721  rmse_vY:0.461967  },1
{rmse_x:0.0970737   rmse_Y:0.0886896  rmse_vx:0.485213  rmse_vY:0.461659  },1
{rmse_x:0.0969941   rmse_Y:0.0887773  rmse_vx:0.484958  rmse_vY:0.461586  },1
{rmse_x:0.0969042   rmse_Y:0.0890409  rmse_vx:0.484737  rmse_vY:0.461709  },1
{rmse_x:0.0968293   rmse_Y:0.089205  rmse_vx:0.484755  rmse_vY:0.461569  },1
{rmse_x:0.096768   rmse_Y:0.0892719  rmse_vx:0.484616  rmse_vY:0.461216  },1
{rmse_x:0.0967549   rmse_Y:0.0892171  rmse_vx:0.484791  rmse_vY:0.460703  },1
{rmse_x:0.0967267   rmse_Y:0.0891513  rmse_vx:0.4845  rmse_vY:0.46017  },1
{rmse_x:0.0967577   rmse_Y:0.0890433  rmse_vx:0.484487  rmse_vY:0.459615  },1
{rmse_x:0.0968153   rmse_Y:0.0889382  rmse_vx:0.484489  rmse_vY:0.45906  },1
{rmse_x:0.0969221   rmse_Y:0.0888334  rmse_vx:0.484724  rmse_vY:0.458522  },1
{rmse_x:0.0970034   rmse_Y:0.0887265  rmse_vx:0.484304  rmse_vY:0.457973  },1
{rmse_x:0.0970651   rmse_Y:0.0887446  rmse_vx:0.483966  rmse_vY:0.457684  },1
{rmse_x:0.0971647   rmse_Y:0.0888032  rmse_vx:0.483543  rmse_vY:0.457422  },1
{rmse_x:0.097301   rmse_Y:0.0887753  rmse_vx:0.483289  rmse_vY:0.457028  },1
{rmse_x:0.0974046   rmse_Y:0.088726  rmse_vx:0.482848  rmse_vY:0.456583  },1
{rmse_x:0.0977671   rmse_Y:0.0886206  rmse_vx:0.48276  rmse_vY:0.456049  },1
{rmse_x:0.0981027   rmse_Y:0.0885159  rmse_vx:0.482446  rmse_vY:0.455509  },1
{rmse_x:0.098308   rmse_Y:0.0884176  rmse_vx:0.48214  rmse_vY:0.455043  },1
{rmse_x:0.0984159   rmse_Y:0.0883171  rmse_vx:0.481789  rmse_vY:0.45459  },1
{rmse_x:0.0986379   rmse_Y:0.0882133  rmse_vx:0.481664  rmse_vY:0.454142  },1
{rmse_x:0.0987763   rmse_Y:0.0881093  rmse_vx:0.481278  rmse_vY:0.453686  },1
{rmse_x:0.0988589   rmse_Y:0.0880251  rmse_vx:0.480928  rmse_vY:0.453395  },1
{rmse_x:0.0988656   rmse_Y:0.0879351  rmse_vx:0.480365  rmse_vY:0.453017  },1
{rmse_x:0.0988198   rmse_Y:0.0878335  rmse_vx:0.479813  rmse_vY:0.452613  },1
{rmse_x:0.0987564   rmse_Y:0.0877328  rmse_vx:0.479268  rmse_vY:0.452136  },1
{rmse_x:0.0986915   rmse_Y:0.0876553  rmse_vx:0.47871  rmse_vY:0.451637  },1
{rmse_x:0.0986474   rmse_Y:0.0875609  rmse_vx:0.478291  rmse_vY:0.451261  },1
{rmse_x:0.098654   rmse_Y:0.0874978  rmse_vx:0.478031  rmse_vY:0.450836  },1
{rmse_x:0.0987064   rmse_Y:0.0874257  rmse_vx:0.477741  rmse_vY:0.450446  },1
{rmse_x:0.0986549   rmse_Y:0.0873458  rmse_vx:0.477354  rmse_vY:0.450567  },1
{rmse_x:0.0985713   rmse_Y:0.0872536  rmse_vx:0.476852  rmse_vY:0.450515  },1
{rmse_x:0.0984716   rmse_Y:0.0871682  rmse_vx:0.476372  rmse_vY:0.450553  },1
{rmse_x:0.0983586   rmse_Y:0.0870785  rmse_vx:0.475834  rmse_vY:0.450427  },1
{rmse_x:0.098254   rmse_Y:0.0869794  rmse_vx:0.475303  rmse_vY:0.450166  },1
{rmse_x:0.0981462   rmse_Y:0.0868807  rmse_vx:0.474946  rmse_vY:0.449797  },1
{rmse_x:0.0980352   rmse_Y:0.0867837  rmse_vx:0.474447  rmse_vY:0.449451  },1
{rmse_x:0.0979254   rmse_Y:0.0867027  rmse_vx:0.473908  rmse_vY:0.449432  },1
{rmse_x:0.0978226   rmse_Y:0.0866098  rmse_vx:0.473388  rmse_vY:0.449349  },1
{rmse_x:0.0977265   rmse_Y:0.0865223  rmse_vx:0.472861  rmse_vY:0.449265  },1
{rmse_x:0.0976481   rmse_Y:0.0865836  rmse_vx:0.472418  rmse_vY:0.44877  },1
{rmse_x:0.0975829   rmse_Y:0.0865559  rmse_vx:0.472118  rmse_vY:0.448438  },1
{rmse_x:0.0976347   rmse_Y:0.0864963  rmse_vx:0.472039  rmse_vY:0.448224  },1
{rmse_x:0.0975953   rmse_Y:0.08642  rmse_vx:0.471523  rmse_vY:0.447938  },1
{rmse_x:0.0975159   rmse_Y:0.0863279  rmse_vx:0.471003  rmse_vY:0.447813  },1
{rmse_x:0.0974566   rmse_Y:0.0862323  rmse_vx:0.470548  rmse_vY:0.447929  },1
{rmse_x:0.0975011   rmse_Y:0.0861449  rmse_vx:0.47026  rmse_vY:0.447845  },1
{rmse_x:0.0976078   rmse_Y:0.0860507  rmse_vx:0.470052  rmse_vY:0.447872  },1
{rmse_x:0.0978096   rmse_Y:0.0860016  rmse_vx:0.470007  rmse_vY:0.447671  },1
{rmse_x:0.0979214   rmse_Y:0.0859192  rmse_vx:0.469583  rmse_vY:0.447506  },1
{rmse_x:0.0978941   rmse_Y:0.0858381  rmse_vx:0.469095  rmse_vY:0.447408  },1
{rmse_x:0.0978888   rmse_Y:0.0857574  rmse_vx:0.468587  rmse_vY:0.447234  },1
{rmse_x:0.0978539   rmse_Y:0.0856713  rmse_vx:0.46808  rmse_vY:0.447146  },1
{rmse_x:0.0977647   rmse_Y:0.0856239  rmse_vx:0.467693  rmse_vY:0.446756  },1
{rmse_x:0.097664   rmse_Y:0.0855308  rmse_vx:0.467434  rmse_vY:0.446637  },1
{rmse_x:0.0975803   rmse_Y:0.0854472  rmse_vx:0.467046  rmse_vY:0.446873  },1
{rmse_x:0.0975268   rmse_Y:0.0853852  rmse_vx:0.466656  rmse_vY:0.447253  },1
{rmse_x:0.0975128   rmse_Y:0.0853666  rmse_vx:0.466387  rmse_vY:0.447628  },1
{rmse_x:0.097536   rmse_Y:0.085446  rmse_vx:0.466096  rmse_vY:0.448265  },1
{rmse_x:0.0976295   rmse_Y:0.0855951  rmse_vx:0.465925  rmse_vY:0.448841  },1
{rmse_x:0.097663   rmse_Y:0.0858017  rmse_vx:0.465587  rmse_vY:0.449425  },1
{rmse_x:0.0977701   rmse_Y:0.0861285  rmse_vx:0.46542  rmse_vY:0.449941  },1
{rmse_x:0.0977474   rmse_Y:0.0861772  rmse_vx:0.464981  rmse_vY:0.449873  },1
{rmse_x:0.0977395   rmse_Y:0.086281  rmse_vx:0.464545  rmse_vY:0.449879  },1
{rmse_x:0.0976412   rmse_Y:0.0861995  rmse_vx:0.464058  rmse_vY:0.449489  },1
{rmse_x:0.0976277   rmse_Y:0.086117  rmse_vx:0.463768  rmse_vY:0.449022  },1
{rmse_x:0.0976142   rmse_Y:0.0860325  rmse_vx:0.463417  rmse_vY:0.448568  },1
{rmse_x:0.0975849   rmse_Y:0.0859436  rmse_vx:0.462928  rmse_vY:0.448199  },1
{rmse_x:0.0975016   rmse_Y:0.0859283  rmse_vx:0.462463  rmse_vY:0.447723  },1
{rmse_x:0.0974367   rmse_Y:0.0859274  rmse_vx:0.461972  rmse_vY:0.447249  },1
{rmse_x:0.097524   rmse_Y:0.085876  rmse_vx:0.461589  rmse_vY:0.447139  },1
{rmse_x:0.0976411   rmse_Y:0.0858855  rmse_vx:0.461151  rmse_vY:0.447309  },1
{rmse_x:0.0976716   rmse_Y:0.0858184  rmse_vx:0.460666  rmse_vY:0.447178  },1
{rmse_x:0.0977553   rmse_Y:0.0857587  rmse_vx:0.460236  rmse_vY:0.446928  },1
{rmse_x:0.0978198   rmse_Y:0.0858336  rmse_vx:0.459799  rmse_vY:0.446953  },1
{rmse_x:0.0979508   rmse_Y:0.0860281  rmse_vx:0.459411  rmse_vY:0.4471  },1
{rmse_x:0.0979405   rmse_Y:0.0860024  rmse_vx:0.458931  rmse_vY:0.44682  },1
{rmse_x:0.0979423   rmse_Y:0.0860124  rmse_vx:0.458453  rmse_vY:0.44661  },1
{rmse_x:0.0979081   rmse_Y:0.0861413  rmse_vx:0.457978  rmse_vY:0.446556  },1
{rmse_x:0.0979434   rmse_Y:0.0863129  rmse_vx:0.457527  rmse_vY:0.446434  },1
{rmse_x:0.0978843   rmse_Y:0.0864319  rmse_vx:0.457057  rmse_vY:0.446202  },1
{rmse_x:0.0978572   rmse_Y:0.0863965  rmse_vx:0.45677  rmse_vY:0.445805  },1
{rmse_x:0.0979112   rmse_Y:0.0863112  rmse_vx:0.45652  rmse_vY:0.445461  },1
{rmse_x:0.0979758   rmse_Y:0.0862234  rmse_vx:0.456204  rmse_vY:0.44507  },1
{rmse_x:0.0979479   rmse_Y:0.0861395  rmse_vx:0.455769  rmse_vY:0.444718  },1
{rmse_x:0.0979074   rmse_Y:0.0860582  rmse_vx:0.455311  rmse_vY:0.444302  },1
{rmse_x:0.0978639   rmse_Y:0.0860325  rmse_vx:0.45485  rmse_vY:0.443986  },1
{rmse_x:0.0977787   rmse_Y:0.0859622  rmse_vx:0.454403  rmse_vY:0.443546  },1
{rmse_x:0.0976941   rmse_Y:0.0859251  rmse_vx:0.45395  rmse_vY:0.443142  },1
{rmse_x:0.0975994   rmse_Y:0.0858527  rmse_vx:0.45351  rmse_vY:0.442696  },1
{rmse_x:0.097509   rmse_Y:0.0858237  rmse_vx:0.453055  rmse_vY:0.442287  },1
{rmse_x:0.0974103   rmse_Y:0.0857403  rmse_vx:0.45262  rmse_vY:0.441844  },1
{rmse_x:0.0974975   rmse_Y:0.0857352  rmse_vx:0.452654  rmse_vY:0.441589  },1
{rmse_x:0.0976057   rmse_Y:0.0857164  rmse_vx:0.452619  rmse_vY:0.441242  },1
{rmse_x:0.0975115   rmse_Y:0.0856301  rmse_vx:0.452168  rmse_vY:0.440799  },1
{rmse_x:0.0974149   rmse_Y:0.0855442  rmse_vx:0.45172  rmse_vY:0.440368  },1
{rmse_x:0.0973178   rmse_Y:0.0854597  rmse_vx:0.451267  rmse_vY:0.439935  },1
